Estimators,Train Accuracy,Test Accuracy
1,0.7823973248973249,0.7553571428571428
3,0.7841439116439117,0.8142857142857143
5,0.7857672882672884,0.8113095238095237
7,0.8097535797535798,0.8452380952380951
9,0.8054462204462205,0.8273809523809523
11,0.8183021145521145,0.8273809523809523
13,0.8049537962037961,0.8357142857142857
15,0.8212999500499499,0.8214285714285714
17,0.8242779442779442,0.8285714285714285
19,0.8044361194361194,0.8523809523809524
21,0.7998461260961262,0.8214285714285714
23,0.7926666389166389,0.8339285714285714
